target,model,accuracy,auc,precision,recall,f1
Campaign Success,Gradient Boosting,0.9797,0.9888,0.9822,0.9797,0.9802
Campaign Success,XGBoost,0.9798,0.9886,0.9824,0.9798,0.9804
Campaign Success,AdaBoost,0.9798,0.9885,0.9824,0.9798,0.9804
Campaign Success,Random Forest,0.9796,0.9882,0.9821,0.9796,0.9802
Campaign Success,Logistic Regression,0.9384,0.9739,0.9363,0.9384,0.9369
High Profit,AdaBoost,0.8171,0.8571,0.8505,0.8171,0.8126
High Profit,Gradient Boosting,0.8164,0.8569,0.8483,0.8164,0.8121
High Profit,XGBoost,0.8164,0.8568,0.8488,0.8164,0.8121
High Profit,Random Forest,0.8173,0.8567,0.8504,0.8173,0.8128
High Profit,Logistic Regression,0.8163,0.8565,0.8433,0.8163,0.8126
High ROI,AdaBoost,0.7569,0.7552,0.8363,0.7569,0.7415
High ROI,Random Forest,0.7567,0.7549,0.8356,0.7567,0.7414
High ROI,XGBoost,0.7568,0.7547,0.8361,0.7568,0.7414
High ROI,Gradient Boosting,0.7566,0.7537,0.8352,0.7566,0.7413
High ROI,Logistic Regression,0.7541,0.7528,0.8257,0.7541,0.7397
